"recipeId","slug","titleFa","finalState","status","isPublic","reason"
"garnish_recipe_fa_95_0962d2a9","abgoosht-ghanbid","آبگوشت قنبید","HIDDEN_PENDING_REVIEW","reviewOnly","false","No source-backed or documented product-decision pass; hidden from public launch surfaces."
"garnish_recipe_fa_168_8b2d9b86","abgoosht-matanjaneh-kermani","آبگوشت متنجنه کرمانی","HIDDEN_PENDING_REVIEW","reviewOnly","false","No source-backed or documented product-decision pass; hidden from public launch surfaces."
"garnish_recipe_fa_148_554e136f","ash-e-anar","آش انار","HIDDEN_PENDING_REVIEW","reviewOnly","false","No source-backed or documented product-decision pass; hidden from public launch surfaces."
"garnish_recipe_fa_147_3b1b07c5","ash-e-jo","آش جو","HIDDEN_PENDING_REVIEW","reviewOnly","false","No source-backed or documented product-decision pass; hidden from public launch surfaces."
"garnish_recipe_fa_79_792d1196","ash-dandooni","آش دندونی","HIDDEN_PENDING_REVIEW","reviewOnly","false","No source-backed or documented product-decision pass; hidden from public launch surfaces."
"garnish_recipe_fa_1235_f91ccc6d","ash-doogh","آش دوغ","HIDDEN_PENDING_REVIEW","reviewOnly","false","No source-backed or documented product-decision pass; hidden from public launch surfaces."
"garnish_recipe_fa_77_3adf94d4","ash-sabzi-shirazi","آش سبزی شیرازی","HIDDEN_PENDING_REVIEW","reviewOnly","false","No source-backed or documented product-decision pass; hidden from public launch surfaces."
"garnish_recipe_fa_1237_3dff9aba","ash-sholeh-ghalamkar","آش شله قلمکار","HIDDEN_PENDING_REVIEW","reviewOnly","false","No source-backed or documented product-decision pass; hidden from public launch surfaces."
"garnish_recipe_fa_870_d37ad654","albaloo-polo-ba-morgh","آلبالو پلو با مرغ یا گوشت","HIDDEN_PENDING_REVIEW","reviewOnly","false","No source-backed or documented product-decision pass; hidden from public launch surfaces."
"garnish_recipe_fa_868_c97331a5","estamboli-polo","استانبولی پلو بدون گوشت","HIDDEN_PENDING_REVIEW","reviewOnly","false","No source-backed or documented product-decision pass; hidden from public launch surfaces."
"garnish_recipe_fa_113_2a1debd0","anar-polo-shirazi","انارپلو شیرازی","HIDDEN_PENDING_REVIEW","reviewOnly","false","No source-backed or documented product-decision pass; hidden from public launch surfaces."
"garnish_recipe_fa_862_dbf3d4d5","baghali-polo-ba-goosht","باقالی پلو با گوشت","HIDDEN_PENDING_REVIEW","reviewOnly","false","No source-backed or documented product-decision pass; hidden from public launch surfaces."
"garnish_recipe_fa_96_730b7817","boz-ghormeh-kermani","بزقرمه کرمانی","HIDDEN_PENDING_REVIEW","reviewOnly","false","No source-backed or documented product-decision pass; hidden from public launch surfaces."
"garnish_recipe_fa_1276_cdef73d2","tas-kabab","تاس‌کباب","HIDDEN_PENDING_REVIEW","reviewOnly","false","No source-backed or documented product-decision pass; hidden from public launch surfaces."
"garnish_recipe_fa_216_1bfdfe55","saffron-joojeh-kabab","جوجه کباب زعفرانی","HIDDEN_PENDING_REVIEW","reviewOnly","false","No source-backed or documented product-decision pass; hidden from public launch surfaces."
"garnish_recipe_fa_101_877a41d3","khoresh-aloo","خورش آلو","HIDDEN_PENDING_REVIEW","reviewOnly","false","No source-backed or documented product-decision pass; hidden from public launch surfaces."
"garnish_recipe_intl_098_0fbf4374","irish-stew","خورش ایرلندی","HIDDEN_PENDING_REVIEW","reviewOnly","false","No source-backed or documented product-decision pass; hidden from public launch surfaces."
"garnish_recipe_fa_190_49162ac2","khoresh-morgh-qeysi","خورش مرغ قیسی","HIDDEN_PENDING_REVIEW","reviewOnly","false","No source-backed or documented product-decision pass; hidden from public launch surfaces."
"garnish_recipe_fa_1251_3f83f105","khoresh-bademjan","خورشت بادمجان","HIDDEN_PENDING_REVIEW","reviewOnly","false","No source-backed or documented product-decision pass; hidden from public launch surfaces."
"garnish_recipe_fa_99_14f1018b","khoresh-rivas","خورشت ریواس","HIDDEN_PENDING_REVIEW","reviewOnly","false","No source-backed or documented product-decision pass; hidden from public launch surfaces."
"garnish_recipe_fa_98_601bddc6","khoresh-havij-tabrizi","خورشت هویج تبریزی","HIDDEN_PENDING_REVIEW","reviewOnly","false","No source-backed or documented product-decision pass; hidden from public launch surfaces."
