recipeId,slug,titleFa,sourceGroup,fieldPath,exactBadText,class,severity,recommendedRepairType,allowlistStatus
"garnish_recipe_fa_101_877a41d3","garnish_recipe_fa_101_877a41d3","","dataset","dataset.repeated","این اطلاعات عمومی و آشپزی است، نه توصیهٔ پزشکی","REPEATED_SENTENCE_ACROSS_DATASET","HIGH","FULL_GRIS_REVIEW","ALLOWLISTED"
"garnish_lite_fa_001_6f1166ee","garnish_lite_fa_001_6f1166ee","","dataset","dataset.repeated","جایگزین را ساده نگه دار: ماده‌ای با طعم و بافت نزدیک انتخاب کن، و اگر به چیزی حساسیت داری همان ماده را حذف یا با گزینه امن خودت عوض کن","REPEATED_SENTENCE_ACROSS_DATASET","HIGH","SENTENCE_PATCH","ALLOWLISTED"
"garnish_lite_fa_001_6f1166ee","garnish_lite_fa_001_6f1166ee","","dataset","dataset.repeated","چون آماده‌سازی آن کوتاه است و بیشتر از چند حرکت ساده نیاز ندارد؛ با این حال مقدارها دقیق نوشته شده‌اند تا نتیجه قابل تکرار باشد","REPEATED_SENTENCE_ACROSS_DATASET","HIGH","SENTENCE_PATCH","ALLOWLISTED"
"garnish_lite_fa_001_6f1166ee","garnish_lite_fa_001_6f1166ee","","dataset","dataset.repeated","مقدار مواد برای یک نفر نوشته شده؛ برای چند نفر، همه مواد را به همان نسبت بیشتر کن","REPEATED_SENTENCE_ACROSS_DATASET","HIGH","SENTENCE_PATCH","ALLOWLISTED"
"garnish_lite_fa_001_6f1166ee","garnish_lite_fa_001_6f1166ee","","dataset","dataset.repeated","همان موقع سرو کن تا نان، میوه یا سبزیجات بافت تازه‌تری داشته باشند","REPEATED_SENTENCE_ACROSS_DATASET","HIGH","SENTENCE_PATCH","ALLOWLISTED"
"garnish_lite_fa_001_6f1166ee","garnish_lite_fa_001_6f1166ee","","dataset","dataset.repeated","مواد را ساده و مرتب کنار هم بگذار، مخلوط کن یا داخل نان بچین","REPEATED_SENTENCE_ACROSS_DATASET","HIGH","SENTENCE_PATCH","ALLOWLISTED"
"garnish_lite_fa_001_6f1166ee","garnish_lite_fa_001_6f1166ee","","dataset","dataset.repeated","مواد را بیش از حد مخلوط یا له نکن تا بافت اصلی آیتم حفظ شود","REPEATED_SENTENCE_ACROSS_DATASET","HIGH","SENTENCE_PATCH","ALLOWLISTED"
"garnish_lite_fa_001_6f1166ee","garnish_lite_fa_001_6f1166ee","","dataset","dataset.repeated","مواد را طبق مقدارهای نوشته‌شده آماده کن و کنار دستت بگذار","REPEATED_SENTENCE_ACROSS_DATASET","HIGH","SENTENCE_PATCH","ALLOWLISTED"
"garnish_lite_fa_001_6f1166ee","garnish_lite_fa_001_6f1166ee","","dataset","dataset.repeated","همان موقع سرو کن تا بافت و طعم مواد تازه بماند","REPEATED_SENTENCE_ACROSS_DATASET","HIGH","SENTENCE_PATCH","ALLOWLISTED"
"garnish_lite_fa_001_6f1166ee","garnish_lite_fa_001_6f1166ee","","dataset","dataset.repeated","چرا این آیتم سبک است؟","REPEATED_SENTENCE_ACROSS_DATASET","HIGH","SENTENCE_PATCH","ALLOWLISTED"
"garnish_recipe_global_143_002_5f663504","garnish_recipe_global_143_002_5f663504","","dataset","dataset.repeated","برای این دستور عدد کالری در دادهٔ فعلی موجود نیست","REPEATED_SENTENCE_ACROSS_DATASET","HIGH","SENTENCE_PATCH","ALLOWLISTED"
"garnish_lite_fa_001_6f1166ee","garnish_lite_fa_001_6f1166ee","","dataset","dataset.repeated","این آیتم با مواد قابل‌دسترس طراحی شده و برای برنامه غذایی، جستجو و لیست خرید آماده است","REPEATED_SENTENCE_ACROSS_DATASET","HIGH","SENTENCE_PATCH","ALLOWLISTED"
"garnish_recipe_fa_113_2a1debd0","garnish_recipe_fa_113_2a1debd0","","dataset","dataset.repeated","واقعی: جایگزین واقعی ندارد","REPEATED_SENTENCE_ACROSS_DATASET","HIGH","SENTENCE_PATCH","ALLOWLISTED"
"meze50_11_crispy-feta-phyllo-bites","meze50_11_crispy-feta-phyllo-bites","","dataset","dataset.repeated","این توضیح عمومی است و با مقدار سرو و مواد تغییر می‌کند","REPEATED_SENTENCE_ACROSS_DATASET","HIGH","SENTENCE_PATCH","ALLOWLISTED"
"garnish_recipe_fa_105_606b3bee","garnish_recipe_fa_105_606b3bee","","dataset","dataset.repeated","نکته خرید: روغن تازه و مناسب حرارت انتخاب کنید","REPEATED_SENTENCE_ACROSS_DATASET","HIGH","SENTENCE_PATCH","ALLOWLISTED"
"garnish_recipe_fa_105_606b3bee","garnish_recipe_fa_105_606b3bee","","dataset","dataset.repeated","1 قاشق چای‌خوری (ضروری)","REPEATED_SENTENCE_ACROSS_DATASET","HIGH","SENTENCE_PATCH","ALLOWLISTED"
"garnish_recipe_fa_100_ce2b0c24","garnish_recipe_fa_100_ce2b0c24","","dataset","dataset.repeated","جایگزین واقعی ندارد؛ حذف یا تعویض آن هویت یا بافت غذا را تغییر می‌دهد","REPEATED_SENTENCE_ACROSS_DATASET","HIGH","SENTENCE_PATCH","ALLOWLISTED"
"garnish_recipe_fa_105_606b3bee","garnish_recipe_fa_105_606b3bee","","dataset","dataset.repeated","5 قاشق چای‌خوری (ضروری)","REPEATED_SENTENCE_ACROSS_DATASET","HIGH","SENTENCE_PATCH","ALLOWLISTED"
