"recipeId","slug","title","ingredients","steps","grisComplete","unresolved","duplicatePublic","copyResidue","status"
"meze50_01_olive-feta-garlic-dip","olive-feta-garlic-dip","دیپ فتا و زیتون با سیر","6","4","true","0","false","false","READY_TO_PUBLISH"
"meze50_02_whipped-feta-with-chili-honey-and-pistachio","whipped-feta-with-chili-honey-and-pistachio","فتای همزده با عسل تند و پسته","5","4","true","0","false","false","READY_TO_PUBLISH"
"meze50_03_tirokafteri-spicy-feta-spread","tirokafteri-spicy-feta-spread","تیرکافتری؛ دیپ فتای تند یونانی","5","4","true","0","false","false","READY_TO_PUBLISH"
"meze50_04_labneh-with-zaatar-and-olive-oil","labneh-with-zaatar-and-olive-oil","لبنه با زعتر و روغن زیتون","4","4","true","0","false","false","READY_TO_PUBLISH"
"meze50_05_beet-labneh-with-walnuts","beet-labneh-with-walnuts","لبنه چغندر و گردو","5","4","true","0","false","false","READY_TO_PUBLISH"
"meze50_06_muhammara-walnut-pepper-dip","muhammara-walnut-pepper-dip","محمره فلفل کبابی و گردو","5","4","true","0","false","false","READY_TO_PUBLISH"
"meze50_07_roasted-carrot-harissa-dip","roasted-carrot-harissa-dip","دیپ هویج کبابی و هریسا","5","4","true","0","false","false","READY_TO_PUBLISH"
"meze50_08_smoky-white-bean-rosemary-dip","smoky-white-bean-rosemary-dip","دیپ لوبیا سفید با رزماری","5","4","true","0","false","false","READY_TO_PUBLISH"
"meze50_09_lemon-garlic-butter-mushrooms","lemon-garlic-butter-mushrooms","قارچ کره ای سیر و لیمو","5","4","true","0","false","false","READY_TO_PUBLISH"
"meze50_10_halloumi-bites-with-honey-sesame","halloumi-bites-with-honey-sesame","مکعب های هالومی با عسل و کنجد","4","4","true","0","false","false","READY_TO_PUBLISH"
"meze50_11_crispy-feta-phyllo-bites","crispy-feta-phyllo-bites","لقمه فتا در خمیر فیلو","4","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_12_feta-herb-stuffed-mini-peppers","feta-herb-stuffed-mini-peppers","فلفل مینی شکم پر با فتا و سبزی","5","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_13_turkish-ezme","turkish-ezme","ازمه ترکی؛ سالسای تند سبزیجات","5","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_14_haydari-yogurt-mint-dip","haydari-yogurt-mint-dip","حیدری؛ دیپ ماست و نعناع","5","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_15_skordalia-garlic-potato-dip","skordalia-garlic-potato-dip","اسکوردالیا؛ دیپ سیب زمینی و سیر","4","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_16_mushroom-thyme-crostini","mushroom-thyme-crostini","کروستینی قارچ و آویشن","5","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_17_fried-mozzarella-bites","fried-mozzarella-bites","موتزارلای سوخاری لقمه ای","4","5","true","0","false","false","READY_TO_PUBLISH"
