"recipeId","title","status","reason","ruleStatus"
"garnish_recipe_fa_95_0962d2a9","آبگوشت قنبید","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_fa_168_8b2d9b86","آبگوشت متنجنه کرمانی","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_fa_94_78034c8a","آبگوشت کشک","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_fa_148_554e136f","آش انار","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_fa_147_3b1b07c5","آش جو","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_fa_79_792d1196","آش دندونی","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_fa_1235_f91ccc6d","آش دوغ","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_fa_1208_434b3a9a","آش رشته","NOT_RULED_NEEDS_RESEARCH","Tier 1 canonical dish needs source-backed rule.","NEEDS_RESEARCH"
"garnish_recipe_fa_77_3adf94d4","آش سبزی شیرازی","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_fa_1237_3dff9aba","آش شله قلمکار","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_fa_870_d37ad654","آلبالو پلو با مرغ یا گوشت","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_intl_095_c9024579","آوگولمونو","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_intl_112_cb59927d","اتن مس","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_intl_028_ecdcc65f","استامپوت (پوره سیب‌زمینی و کلم ترش)","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_fa_868_c97331a5","استانبولی پلو بدون گوشت","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_intl_123_e8fa3267","اسپاگتی آل لیمونه","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_intl_062_ce31c267","اسپاگتی سیر و روغن","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_intl_069_b980b37b","اشترودل سیب","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_fa_1334_8963bd85","اشترودل گوشت","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_fa_1072_b55bdfe7","اشکنه","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_intl_012_46d4828e","امام بایلدی","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_fa_121_b6f01192","املت رب","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_fa_113_2a1debd0","انارپلو شیرازی","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_intl_033_8acac046","بادمجان پارمیجانا","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_fa_862_dbf3d4d5","باقالی پلو با گوشت","NOT_RULED_NEEDS_RESEARCH","Tier 1 canonical dish needs source-backed rule.","NEEDS_RESEARCH"
"garnish_recipe_fa_1224_c65df148","باقلاقاتُق","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_intl_078_c3975f3a","باقلوا","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_fa_90_85d9aaf0","بریانی اصفهان","NOT_RULED_NEEDS_RESEARCH","Tier 1 canonical dish needs source-backed rule.","NEEDS_RESEARCH"
"garnish_recipe_fa_96_730b7817","بزقرمه کرمانی","NOT_RULED_NEEDS_RESEARCH","Tier 1 canonical dish needs source-backed rule.","NEEDS_RESEARCH"
"garnish_recipe_intl_066_d22397d4","بورش","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_intl_124_ee006e03","بیستکا آلا فیورنتینا","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_intl_065_d91803a7","بیف استروگانف","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_intl_140_e00e3df2","تارتا د سانتیاگو","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_fa_1276_cdef73d2","تاس‌کباب","NOT_RULED_NEEDS_RESEARCH","Tier 1 canonical dish needs source-backed rule.","NEEDS_RESEARCH"
"garnish_recipe_intl_009_ab044ed1","تبوله","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_fa_1084_8f35205e","ته چین مرغ","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_fa_115_ba80ef7c","ته‌انداز مرغ","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_fa_164_8367ec24","ته‌چین گوشت و بادمجان","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_intl_111_248a08a4","تود این د هول","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_intl_022_ac4d3143","تورتیای اسپانیایی","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_intl_031_7e902faf","تیرامیسو","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_fa_216_1bfdfe55","جوجه کباب زعفرانی","NOT_RULED_NEEDS_RESEARCH","Tier 1 canonical dish needs source-backed rule.","NEEDS_RESEARCH"
"garnish_recipe_fa_1290_f5fc285f","حلیم بادمجان","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_fa_1238_296fbec3","حلیم گندم","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_fa_2014_249aa268","خمیر پیتزا ایتالیایی","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_fa_1343_5bf8151c","خوراک مرغ و قارچ","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_fa_101_877a41d3","خورش آلو","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_intl_098_0fbf4374","خورش ایرلندی","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_fa_190_49162ac2","خورش مرغ قیسی","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_fa_1251_3f83f105","خورشت بادمجان","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_fa_99_14f1018b","خورشت ریواس","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
"garnish_recipe_fa_228_09a631f3","خورشت فسنجان","NOT_RULED_NEEDS_RESEARCH","Tier 1 canonical dish needs source-backed rule.","NEEDS_RESEARCH"
"garnish_recipe_fa_224_c9d0355d","خورشت قرمه‌سبزی","NOT_RULED_NEEDS_RESEARCH","Tier 1 canonical dish needs source-backed rule.","NEEDS_RESEARCH"
"garnish_recipe_fa_98_601bddc6","خورشت هویج تبریزی","NOT_RULED_NEEDS_RESEARCH","No source-backed rule yet.","NEEDS_RESEARCH"
